Shipment#,Sales,Operations,Carrier legalName,Carrier displayName,Nature of Goods,Considerable Charging Unit,Origin Port,Commodity,Destination Port,isHouseholdGoods,isUsedGoods,isHazardous,isPerishable,isVehicle,Origin State,Destination State,Destination country,createdDate,shipmentStatus
MAT211304,Aurora Patel,Maya Lopez,Mercury Air Cargo,Mercury Air Cargo,Other,235392,LEX,N95 Mask,GUA,No,No,No,No,No,Kentucky,Guatemala,Guatemala,2021-03-12T18:24:13.016Z,Cancel
MAT235862,Blake Garcia,Ethan Wright,Lufthansa Cargo,Lufthansa Cargo / JFK *,General,260316,ORD,"Mining Machine
(W/O BATTERY)
(NOT RESTRICTED. NO EXPORT LICENSE IS REQUIRED)

73 Plts=1720 ctns",ALA,No,No,No,No,No,Illinois,Almaty,Kazakhstan,2023-09-06T11:33:40.058Z,Completed
MAT241685,Riley Bennett,Penelope Brooks,Turkish Airlines,Turkish Airlines / JFK*,Other,311046,DFW,"Oilwell Tools

",DMM,No,No,No,No,No,Texas,Dammam,Saudi Arabia,2024-03-13T21:01:39.929Z,Released
MAT217565,Evelyn Williams,Liam Hernandez,Lufthansa Cargo,Lufthansa Cargo *,Other,199851,JFK,Tuberculin Syringes with needles ,KGL,No,No,No,No,No,New York,Kigali City,Rwanda,2021-12-14T19:14:55.832Z,Cancel
MAT240116,Lucas Thompson,Evelyn Jones,Turkish Airlines,Turkish Airlines / JFK*,General,114866,SFO,"E-LIQUID
",DXB,No,No,No,No,No,California,Al Garhoud,United Arab Emirates,2024-01-05T13:52:42.061Z,Released
MAT242685,Riley Bennett,Penelope Brooks,Cargolux,Cargolux / SFO *,General,176648,DFW,Oilwell Tools,DMM,No,No,No,No,No,Texas,Dammam,Saudi Arabia,2024-04-23T18:13:57.750Z,Invoiced
MAT242686,Riley Bennett,Penelope Brooks,Cargolux,Cargolux / SFO *,General,274404,DFW,Oilwell Tools,DMM,No,No,No,No,No,Texas,Dammam,Saudi Arabia,2024-04-23T18:22:38.930Z,Invoiced
MAT241216,Maya Davis,Noah Patel,Saudia Airlines Cargo,Saudia Airlines Cargo / JFK *,Other,249428,IAD,Cosmetic,JED,No,No,No,No,No,District of Columbia,Mecca,Saudi Arabia,2024-02-22T22:59:32.694Z,Released
MAT241374,Lucas Thompson,Ava Garcia,British Airways,British Airways / SFO *,General,241354,PHL,ESSENTIAL OILS,DXB,No,No,No,No,No,Pennsylvania,Al Garhoud,United Arab Emirates,2024-03-01T11:49:08.450Z,Released
MAT240407,Ethan Baker,Michael Miller,Saudia Airlines Cargo,Saudia Airlines Cargo / JFK *,Other,275103,ORD,"Brilliantly Brightening Cleansing Gel - 118ml, Radically Rejuvenating Eye Cream -30 ml, Brightening Body Scrub, Ultra Hydrating Conditioner - Argan, Dry Shampoo - All Hair Types- 48 g",RUH,No,No,No,No,No,Illinois,Riyadh,Saudi Arabia,2024-01-19T15:58:44.021Z,Released
MAT236256,Maya Davis,Ava Garcia,Turkish Airlines,Turkish Airlines / JFK*,General,222070,ATL," 9 HA01 FN ASSY
IMPORT HS#:-8411999085
COO :- FR
ECCN#:- EAR99 
/ Non-Stackable",LHE,No,No,No,No,No,Georgia,Punjab,Pakistan,2023-09-22T18:15:59.256Z,Completed
MAT203430,Chloe Anderson,Maya Lopez,Turkish Airlines,Turkish Airlines/JFK *,Other,138821,JFK,General Cargo,BOM,No,No,No,No,No,New York,Maharashtra,India,2020-12-22T15:06:00.248Z,Completed
MAT238000,Ethan Baker,Michael Miller,Saudia Airlines Cargo,Saudia Airlines Cargo / JFK *,General,56209,ORD,Brilliantly Brightening Facial Scrub,RUH,No,No,No,No,No,Illinois,Riyadh,Saudi Arabia,2023-12-14T19:31:00.154Z,Released
MAT237650,Blake Garcia,Sophia Thomas,Turkish Airlines,Turkish Airlines / JFK*,General,75538,SFO,Shampoo and Conditioner,DEL,No,No,No,No,No,California,Punjab,India,2023-12-01T11:29:08.992Z,Completed
MAT241449,Lucas Thompson,Noah Patel,British Airways,British Airways / SFO *,General,260621,CVG,PERSONAL CARE PRODUCT,AMS,No,No,No,No,No,Kentucky,Noord-Holland,Netherlands,2024-03-05T09:45:44.533Z,Released
MAT236202,Maya Davis,Noah Patel,Etihad Airways,Etihad Airways / LAX *,General,149529,ORD,"CARAMEL FLAVOR POWDER, 29.44019
CARAMEL FLAVOR POWDER, 29.45461",MNL,No,No,No,No,No,Illinois,Metro Manila,Philippines,2023-09-20T21:05:50.882Z,Completed
MAT217088,Aurora Patel,Liam Hernandez,Allied Air Cargo,Allied Air Cargo C/o Network Cargo *,Other,308191,IAH,POLYCLAR 10 DRUM 19.96KG INRT 1 Country of origin - USA NON-HAZARDOUS MATERIAL,LOS,No,No,No,No,No,Texas,Anambra,Nigeria,2021-11-23T21:27:36.724Z,Completed
MAT220539,Aurora Patel,Liam Hernandez,United Airlines Cargo,United Airlines Cargo / ORD *,Other,117925,IAH,Raw Material,LOS,No,No,No,No,No,Texas,Anambra,Nigeria,2022-01-26T18:16:36.223Z,Completed
MAT232421,Alexander Young,William Johnson,Kuwait Airways,Kuwait Airways,General,149190,JFK,Cosmetic,JED,No,No,No,No,No,New York,Mecca,Saudi Arabia,2023-04-05T19:42:47.287Z,Completed
MAT240463,Riley Bennett,Penelope Brooks,Cargolux,Cargolux / SFO *,General,128389,DFW,Oilwell Tools,DMM,No,No,No,No,No,Texas,Dammam,Saudi Arabia,2024-01-23T11:19:19.736Z,Released
MAT240853,Riley Bennett,Penelope Brooks,Turkish Airlines,Turkish Airlines / JFK*,General,204211,DFW,"Oilwell Tools

",DMM,No,No,No,No,No,Texas,Dammam,Saudi Arabia,2024-02-07T15:14:02.200Z,Released
MAT241047,Maya Davis,Noah Patel,Saudia Airlines Cargo,Saudia Airlines Cargo / JFK *,General,162919,IAD,General cargo,JED,No,No,No,No,No,District of Columbia,Mecca,Saudi Arabia,2024-02-15T12:53:37.438Z,Released
MAT225639,Evelyn Martin,Isabella Hernandez,Turkish Airlines,Turkish Airlines/JFK *,General,175406,IAH,Essential Oil,DXB,No,No,No,No,No,Texas,Al Garhoud,United Arab Emirates,2022-10-03T21:32:43.249Z,Completed
MAT236318,Maya Davis,Noah Patel,Etihad Airways,Etihad Airways / LAX *,General,207979,ORD,"CARAMEL FLAVOR POWDER, 29.44019
CARAMEL FLAVOR POWDER, 29.45461",MNL,No,No,No,No,No,Illinois,Metro Manila,Philippines,2023-09-26T15:09:31.888Z,Completed
MAT234834,Ethan Baker,Sophia Thomas,GULF AIR,GULF AIR / JFK *,General,161269,SEA,"Laryngoscope Accessories

",RUH,No,No,No,No,No,Washington,Riyadh,Saudi Arabia,2023-07-19T14:31:41.363Z,Completed
MAT237217,Maya Davis,Noah Patel,Turkish Airlines,Turkish Airlines / JFK*,General,239481,SFO,"E-Liquids

",AMM,No,No,No,No,No,California,Amman,Jordan,2023-11-08T23:09:34.270Z,Completed
MAT236139,Maya Davis,James Moore,British Airways,British Airways / SFO *,Other,288004,PHL,E-Liquid,DXB,No,Yes,No,No,No,Pennsylvania,Al Garhoud,United Arab Emirates,2023-09-18T18:25:29.312Z,Completed
MAT231535,Alexander Young,William Johnson,Kuwait Airways,Kuwait Airways,General,24431,JFK,Cosmetic,JED,No,No,No,No,No,New York,Mecca,Saudi Arabia,2023-03-06T15:30:38.075Z,Completed
MAT237980,Lucas Thompson,Evelyn Jones,British Airways,British Airways / SFO *,Other,186324,CVG,"HA Laminating Film
",BOM,No,No,No,No,No,Kentucky,Maharashtra,India,2023-12-14T17:13:46.510Z,Released
MAT237435,Maya Davis,Ava Garcia,Saudia Airlines Cargo,Saudia Airlines Cargo / JFK *,General,272573,IAD,cosmetics ,JED,No,No,No,No,No,District of Columbia,Mecca,Saudi Arabia,2023-11-21T00:26:44.589Z,Completed
MAT212729,Aurora Patel,Charlotte Jackson,Turkish Airlines,Turkish Airlines/JFK *,Other,281788,ORD,auto parts,DEL,No,No,No,No,No,Illinois,Punjab,India,2021-05-28T20:47:01.133Z,Cancel
MAT210063,Benjamin Lewis,Maya Lopez,All Nippon Airways ,All Nippon Airways/LAX *,Other,57407,IAD,GIFTS,SGN,No,No,No,No,No,District of Columbia,Thái Bình,Vietnam,2021-01-05T20:39:42.916Z,Completed
MAT240900,Riley Bennett,Penelope Brooks,Turkish Airlines,Turkish Airlines / JFK*,General,76564,DFW,"Oilwell Tools

",DMM,No,No,No,No,No,Texas,Dammam,Saudi Arabia,2024-02-08T17:06:16.702Z,Released
MAT236199,Lucas Thompson,Sophia Thomas,Mercury Air Cargo,Mercury World Cargo,General,173941,LAX,"ESSENTIAL OILS

",DXB,No,No,No,No,No,California,Al Garhoud,United Arab Emirates,2023-09-20T18:22:55.432Z,Completed
MAT235579,Blake Garcia,Ethan Wright,Lufthansa Cargo,Lufthansa Cargo / JFK *,General,283751,ORD,"Mining Machine
(W/O BATTERY)
(NOT RESTRICTED. NO EXPORT LICENSE IS REQUIRED)

22 Plts=530 ctns",ALA,No,No,No,No,No,Illinois,Almaty,Kazakhstan,2023-08-23T12:30:35.855Z,Completed
MAT233536,Lucas Thompson,Benjamin Lee,British Airways,British Airways/SFO *,General,217626,LAX,ESSENTIAL OILS,DXB,No,No,No,No,No,California,Al Garhoud,United Arab Emirates,2023-05-23T10:12:03.652Z,Completed
MAT233820,Lucas Thompson,Sophia Thomas,British Airways,British Airways/SFO *,General,140977,PHL,ESSENTIAL OILS,DXB,No,No,No,No,No,Pennsylvania,Al Garhoud,United Arab Emirates,2023-06-02T13:49:29.158Z,Completed
MAT210700,Chloe Anderson,Maya Lopez,Emirates Sky Cargo,Emirates Sky Cargo / SFO *,Other,46587,LAX,General Cargo,DXB,No,No,No,No,No,California,Al Garhoud,United Arab Emirates,2021-02-08T13:35:16.687Z,Completed
MAT225135,Lucas Thompson,Mia Garcia,Qatar Airways,Qatar Airways / LAX *,General,48719,LAX,Festive Articles,KWI,No,No,No,No,No,California,Farwaniya,Kuwait,2022-09-13T11:09:57.420Z,Completed
MAT237178,Lucas Thompson,Evelyn Jones,British Airways,British Airways / SFO *,General,203050,PHL,Eliquid - Non hazardous,DXB,No,No,No,No,No,Pennsylvania,Al Garhoud,United Arab Emirates,2023-11-07T11:25:43.621Z,Completed
MAT242123,Maya Davis,Penelope Brooks,Etihad Airways,Etihad Airways / LAX *,General,23064,ORD,"Essential Oils

",DXB,No,No,No,No,No,Illinois,Al Garhoud,United Arab Emirates,2024-04-01T16:34:02.881Z,Released
MAT240490,Maya Davis,Noah Patel,Saudia Airlines Cargo,Saudia Airlines Cargo / JFK *,Other,84032,IAD,Cosmetic,JED,No,No,No,No,No,District of Columbia,Mecca,Saudi Arabia,2024-01-23T20:42:04.250Z,Released
MAT242890,Maya Davis,Noah Patel,Saudia Airlines Cargo,Saudia Airlines Cargo / JFK *,General,63181,MIA,Rosemary Mint Strengthening Leave-In Cond.,JED,No,No,No,No,No,Florida,Mecca,Saudi Arabia,2024-04-30T14:17:05.185Z,Invoiced
MAT231050,Lucas Thompson,Ava Garcia,British Airways,British Airways/SFO *,General,237779,LAX,ESSENTIAL OILS,DXB,No,No,No,No,No,California,Al Garhoud,United Arab Emirates,2023-02-13T12:49:58.810Z,Completed
MAT241066,Ethan Baker,Michael Miller,Cargolux,Cargolux / SFO *,General,184357,SEA,Laryngoscope Accessories,RUH,No,No,No,No,No,Washington,Riyadh,Saudi Arabia,2024-02-15T19:21:51.517Z,Released
MAT237366,Ethan Baker,Michael Miller,Etihad Airways,Etihad Airways / LAX *,General,36286,ORD,Beauty Products,RUH,No,No,No,No,No,Illinois,Riyadh,Saudi Arabia,2023-11-16T14:52:00.420Z,Completed
MAT233801,Ethan Baker,Sophia Thomas,Philippine Airlines Cargo,Philippine Airlines Cargo/MIA *,General,88220,SEA,"Laryngoscope Accessories
",RUH,No,No,No,No,No,Washington,Riyadh,Saudi Arabia,2023-06-01T20:08:37.844Z,Completed
MAT232139,Ethan Baker,Sophia Thomas,Cargolux,Cargolux/SFO *,General,137004,SEA,"Medical devices

",RUH,No,No,No,No,No,Washington,Riyadh,Saudi Arabia,2023-03-27T14:19:43.923Z,Completed
MAT210833,Chloe Anderson,Maya Lopez,Emirates Sky Cargo,Emirates Sky Cargo / SFO *,Other,114897,LAX,General Cargo,DXB,No,No,No,No,No,California,Al Garhoud,United Arab Emirates,2021-02-16T16:44:52.713Z,Completed
MAT237557,Ethan Baker,Michael Miller,Turkish Airlines,Turkish Airlines / JFK*,Other,276354,JFK,"Cosmetics/Skincare

",RUH,No,No,No,Yes,No,New York,Riyadh,Saudi Arabia,2023-11-28T13:57:34.228Z,Completed
MAT227932,Ethan Baker,Sophia Thomas,Turkish Airlines,Turkish Airlines/JFK *,Other,229213,IAH,Engine ,MCT,No,No,Yes,No,No,Texas,Muscat,Oman,2022-12-29T18:25:39.748Z,Completed
MAT225502,Luna Robinson,Benjamin Lee,British Airways,British Airways/SFO *,General,264266,JFK,"Food Product , Sauces

Number of pallets : 8

",HYD,No,No,No,No,No,New York,Andhra Pradesh,India,2022-09-28T21:02:41.798Z,Completed
MAT233123,Lucas Thompson,William Johnson,British Airways,British Airways/SFO *,General,269802,DFW,"Medical Equipment

",DXB,No,No,No,No,No,Texas,Al Garhoud,United Arab Emirates,2023-05-05T10:25:48.507Z,Completed
MAT213071,Aurora Patel,Liam Hernandez,Qatar Airways,Qatar Airways / LAX *,Other,135092,PDX,Sweetened Processed Dried Whole Blueberries,BOM,No,No,No,No,No,Oregon,Maharashtra,India,2021-06-14T13:23:34.266Z,Completed
MAT214923,Chloe Anderson,Mia Garcia,Air India,Air India / SFO *,Other,42241,JFK,General Cargo,DEL,No,No,No,No,No,New York,Punjab,India,2021-08-25T19:43:04.252Z,Completed
MAT236213,Lucas Thompson,Noah Patel,Air India,Air India / SFO*,General,111986,IAH,"HOT FINISHED SEAMLESS ALLOY STEEL TUBE					",BOM,No,No,No,No,No,Texas,Maharashtra,India,2023-09-21T11:53:52.016Z,Completed
MAT238039,Lucas Thompson,Sophia Thomas,British Airways,British Airways / SFO *,General,195717,JFK,Cosmetics - Non DG,AMS,No,No,No,No,No,New York,Noord-Holland,Netherlands,2023-12-18T11:59:05.920Z,Completed
MAT232067,Blake Garcia,Benjamin Lee,China Airlines Cargo,China Airlines Cargo / SFO *,General,66548,JFK,Broadcasting equipment – Antennas / AFMs,MNL,No,No,No,No,No,New York,Metro Manila,Philippines,2023-03-23T10:03:23.765Z,Completed
MAT224047,Lucas Thompson,Benjamin Lee,Turkish Airlines,Turkish Airlines/JFK *,General,2844,LAX,Sport Running Shoes,KWI,No,No,No,No,No,,,Kuwait,2022-07-15T15:14:11.303Z,Completed
MAT233493,Lucas Thompson,Ava Garcia,British Airways,British Airways/SFO *,General,157946,PHL,Machinery Parts,BOM,No,No,No,No,No,Pennsylvania,Maharashtra,India,2023-05-22T10:18:44.250Z,Completed
MAT240351,Maya Davis,Noah Patel,Singapore Airlines Cargo,Singapore Airlines Cargo / SFO *,General,93560,DFW,"MLG DOOR

",SIN,No,No,No,No,No,Texas,Changi,Singapore,2024-01-17T18:09:35.765Z,Released
MAT235294,Evelyn Martin,Ethan Wright,Egypt Air Cargo,Egypt Air Cargo / JFK *,General,121179,ATL,TRUESITE INCIDENT COMMANDER ,CAI,No,No,No,No,No,Georgia,Cairo,Egypt,2023-08-10T10:47:19.832Z,Claims
MAT210964,Aurora Patel,Charlotte Jackson,Saudia Airlines Cargo,Saudia Airlines Cargo / JFK *,Other,275663,ORD,auto parts,JED,No,No,No,No,No,Illinois,Mecca,Saudi Arabia,2021-02-25T16:31:05.932Z,Completed
MAT213493,Aurora Patel,Daniel Young,Allied Air Cargo,Allied Air Cargo C/o Network Cargo *,Other,62459,IAH,POLYCLAR 10 DRUM,LOS,No,No,No,No,No,Texas,Anambra,Nigeria,2021-06-30T16:44:30.282Z,Completed
MAT240644,Ethan Baker,Michael Miller,Cargolux,Cargolux / SFO *,General,292906,SEA,"Laryngoscope Accessories

1-48”x40”x57” Contains Lithium Ion Batteries UN3481 in Compliance with Section II of PI 967
",RUH,No,No,No,No,No,Washington,Riyadh,Saudi Arabia,2024-01-30T15:23:21.864Z,Released
MAT225501,Ethan Baker,Sophia Thomas,Philippine Airlines Cargo,Philippine Airlines Cargo/MIA *,General,64711,SEA,Laryngoscope Device/Accessories,RUH,No,No,No,No,No,Washington,Riyadh,Saudi Arabia,2022-09-28T19:14:21.140Z,Completed
MAT221885,Aurora Patel,Daniel Young,Philippine Airlines Cargo,Philippine Airlines Cargo/MIA *,Other,273408,LAX,E liquids,DMM,No,No,No,No,No,California,Dammam,Saudi Arabia,2022-03-31T18:32:08.391Z,Completed
MAT225153,Ethan Baker,Sophia Thomas,Philippine Airlines Cargo,Philippine Airlines Cargo/MIA *,General,225711,SEA,"Medical equipment
Laryngoscope Device/Accessories ",RUH,No,No,No,No,No,Washington,Riyadh,Saudi Arabia,2022-09-13T20:56:45.781Z,Completed
MAT230230,Lucas Thompson,Mia Garcia,British Airways,British Airways/SFO *,General,77339,LAX, Medical Tools And Equipment (Not Restricted) ,DXB,No,No,No,No,No,California,Al Garhoud,United Arab Emirates,2023-01-11T14:11:05.361Z,Completed
MAT222842,Blake Garcia,Sophia Thomas,DHL Aviation Americas,DHL Aviation Americas / SFO *,Other,314111,SEA,Food Supplements,EBL,No,No,No,No,No,Washington,Kurdistan,Iraq,2022-05-20T09:19:48.178Z,Completed
MAT233226,Evelyn Martin,Amelia Robinson,Mercury Air Cargo,Mercury World Cargo,Other,118281,LAX,Essential Oils ,DXB,No,No,No,No,No,California,Al Garhoud,United Arab Emirates,2023-05-09T20:53:16.904Z,Completed
MAT237537,Blake Garcia,Ava Garcia,Lufthansa Cargo,Lufthansa Cargo / JFK *,General,29686,LAX, Projection Screens,RUH,No,No,No,No,No,California,Riyadh,Saudi Arabia,2023-11-27T18:36:29.516Z,Audited
MAT238196,Lucas Thompson,Sophia Thomas,British Airways,British Airways / SFO *,General,107419,LAX,ESSENTIAL OILS,DXB,No,No,No,No,No,California,Al Garhoud,United Arab Emirates,2023-12-26T13:14:27.945Z,Completed
MAT223767,Blake Garcia,Mia Garcia,British Airways,British Airways/SFO *,Other,210168,MIA,Rubber coated steel,MAA,No,No,No,No,No,,,India,2022-07-01T09:38:29.963Z,Completed
MAT234484,Alexander Young,Benjamin Lee,British Airways,British Airways/SFO *,Other,304126,PHL,E-Liquid,DXB,No,Yes,No,No,No,Pennsylvania,Al Garhoud,United Arab Emirates,2023-07-05T20:50:10.373Z,Completed
MAT231404,Blake Garcia,Benjamin Lee,Cargolux,Cargolux/SFO *,General,232580,ORD,Corrosion Testing Lab Equipment ,DMM,No,No,No,No,No,Illinois,Dammam,Saudi Arabia,2023-03-01T09:37:11.388Z,Completed
MAT217036,Chloe Anderson,Liam Hernandez,British Airways,British Airways/LHR,Other,264509,JFK,Cosmetic raw ingredients non-hazardous,BOM,No,No,No,No,No,New York,Maharashtra,India,2021-11-22T13:36:32.154Z,Completed
MAT240400,Riley Bennett,Elijah Allen,Cargolux,Cargolux / SFO *,Other,234524,JFK,"Sleeve chocalate chip
",AMM,No,No,No,Yes,No,New York,Amman,Jordan,2024-01-19T15:04:25.275Z,Released
MAT241665,Alexander Young,Noah Patel,British Airways,British Airways / SFO *,General,31085,JFK,Range Installation Hardware Kit – Hardware Fasteners and Chain,DOH,No,No,No,No,No,New York,Doha,Qatar,2024-03-13T13:35:22.522Z,Released
MAT225199,Evelyn Martin,Benjamin Lee,British Airways,British Airways/SFO *,General,309683,JFK,FUEL ECONOMIZER PARTS,MAA,No,No,No,No,Yes,New York,Tamil Nadu,India,2022-09-15T17:59:47.012Z,Completed
MAT233513,Ethan Baker,Amelia Robinson,Egypt Air Cargo,Egypt Air Cargo / JFK *,Other,113328,ORD,Medical Devices - Valu Pak,RUH,No,No,No,No,No,Illinois,Riyadh,Saudi Arabia,2023-05-22T16:14:47.436Z,Completed
MAT233110,Evelyn Martin,Benjamin Lee,Egypt Air Cargo,Egypt Air Cargo / JFK *,General,213703,LAX,"Reinfor Sheeting w/Fiber Glass Cintas Plasticas con Adhesivo
",CAI,No,No,No,No,No,California,Cairo,Egypt,2023-05-04T23:05:34.979Z,Completed
MAT211972,Mason Gonzalez,Liam Hernandez,Egypt Air Cargo,Egypt Air Cargo / JFK *,Other,21148,BOS,FAK,DXB,No,No,No,No,No,Massachusetts,Al Garhoud,United Arab Emirates,2021-04-19T16:44:11.178Z,Completed
MAT235143,Ethan Baker,Michael Miller,British Airways,British Airways/SFO *,General,126661,MIA,Relief Lotion ,RUH,No,No,No,No,No,Florida,Riyadh,Saudi Arabia,2023-08-02T13:54:30.568Z,Completed
MAT232522,Alexander Young,Amelia Robinson,UPS Air Cargo *,UPS Air Cargo *,General,303168,SLC,Used Server,DXB,No,No,No,No,No,Utah,Al Garhoud,United Arab Emirates,2023-04-11T01:25:41.126Z,Completed
MAT231987,Alexander Young,Benjamin Lee,British Airways,British Airways/SFO *,Other,274815,PHL,"Essential Oils

",DXB,No,Yes,No,No,No,Pennsylvania,Al Garhoud,United Arab Emirates,2023-03-21T13:37:38.803Z,Completed
MAT221849,Aurora Patel,Daniel Young,Turkish Airlines,Turkish Airlines/JFK *,Other,19860,PHL,E-Liquids,DXB,No,No,No,No,No,Pennsylvania,Al Garhoud,United Arab Emirates,2022-03-30T17:22:25.349Z,Completed
MAT235304,Evelyn Martin,Michael Miller,Turkish Airlines,Turkish Airlines / JFK*,Other,135440,LAX,"Essential Oils

",DXB,No,No,No,No,No,California,Al Garhoud,United Arab Emirates,2023-08-10T16:41:05.609Z,Completed
MAT233891,Lucas Thompson,Sophia Thomas,British Airways,British Airways/SFO *,General,179647,DFW,machinery Parts,BOM,No,No,No,No,No,Texas,Maharashtra,India,2023-06-06T17:00:20.674Z,Completed
MAT240083,Riley Lopez,Ethan Wright,Cargolux,Cargolux / SFO *,General,271907,DFW,"3 1/8 X 2.5"" EXP ASY 6/60 90 SHOT",DMM,No,No,No,No,No,Texas,Dammam,Saudi Arabia,2024-01-04T16:58:25.190Z,Released
MAT234024,Evelyn Martin,Benjamin Lee,Mercury Air Cargo,Mercury World Cargo,Other,213988,LAX,"Essential Oils

",DXB,No,No,No,No,No,California,Al Garhoud,United Arab Emirates,2023-06-12T23:43:09.953Z,Completed
MAT232229,Alexander Young,William Johnson,Kuwait Airways,Kuwait Airways,General,85960,JFK,Cosmetic,JED,No,No,No,No,No,New York,Mecca,Saudi Arabia,2023-03-29T13:33:07.977Z,Completed
MAT240227,Lucas Thompson,Evelyn Jones,Lufthansa Cargo,Lufthansa Cargo / JFK *,General,155217,ORD,General Cargo,AMS,No,No,No,No,No,Illinois,Noord-Holland,Netherlands,2024-01-11T10:58:32.306Z,Released
MAT220805,Aurora Patel,Daniel Young,Qatar Airways,Qatar Airways / LAX *,Other,81272,PHL,E-Liquid,DXB,No,No,No,No,No,Pennsylvania,Al Garhoud,United Arab Emirates,2022-02-08T16:01:43.617Z,Completed
MAT236519,Lucas Thompson,Evelyn Jones,Air Canada Cargo,Air Canada Cargo / SFO *,General,118160,LAX,"ESSENTIAL OILS

",DXB,No,No,No,No,No,California,Al Garhoud,United Arab Emirates,2023-10-06T15:12:36.263Z,Completed
MAT226592,Evelyn Martin,William Johnson,Qatar Airways,Qatar Airways / LAX *,General,255517,LAX,Essential Oils,DXB,No,No,No,No,No,California,Al Garhoud,United Arab Emirates,2022-11-04T20:00:43.062Z,Completed
MAT234255,Lucas Thompson,Ava Garcia,Lufthansa Cargo,Lufthansa Cargo / JFK *,General,110733,ORD,"Inner Die
Outer Die
Lower Die
Die Parts
Non Stackable",ALA,No,No,No,No,No,Illinois,Almaty,Kazakhstan,2023-06-22T11:30:58.029Z,Completed
MAT232608,Alexander Young,William Johnson,Kuwait Airways,Kuwait Airways,General,144869,JFK,Cosmetic,JED,No,No,No,No,No,New York,Mecca,Saudi Arabia,2023-04-13T14:50:32.496Z,Completed
MAT232614,Evelyn Martin,Ava Garcia,Air India,Air India / SFO *,Other,247147,SFO,Solar Sea ( Concentrated water Inland Sea Water),DEL,No,No,No,No,No,California,Punjab,India,2023-04-13T19:37:35.847Z,Completed
MAT230425,Mason Gonzalez,Benjamin Lee,Emirates Sky Cargo,Emirates Sky Cargo / SFO *,Other,183039,ORD,Animal feed,DXB,No,No,No,No,No,Illinois,Al Garhoud,United Arab Emirates,2023-01-18T18:42:51.821Z,Completed
MAT233215,Evelyn Martin,Ava Garcia,Air India,Air India / SFO *,Other,86336,SFO,"Mineral Supplement Water					
",DEL,No,No,No,No,No,California,Punjab,India,2023-05-09T15:55:41.894Z,Completed
MAT241990,Ethan Baker,Michael Miller,Saudia Airlines Cargo,Saudia Airlines Cargo / JFK *,Machinery,285853,MIA,"P3 Digital Ultrasonic Diagnostic, Imagyn System",LHE,No,No,No,No,No,Florida,Punjab,Pakistan,2024-03-26T19:31:21.989Z,Released
MAT231448,Lucas Thompson,Evelyn Jones,Air Canada Cargo,Air Canada Cargo/SFO *,General,7990,DFW,"Toles Aluminium 7075

",CMN,No,No,No,No,No,Texas,Casablanca-Settat,Morocco,2023-03-02T10:30:34.947Z,Completed
MAT216655,Aurora Patel,Daniel Young,Turkish Airlines,Turkish Airlines/JFK *,Other,57144,PHL,flavored e-liquids,DXB,No,No,No,No,No,Pennsylvania,Al Garhoud,United Arab Emirates,2021-11-05T21:39:04.530Z,Completed
MAT227663,Blake Garcia,Benjamin Lee,Cargolux,Cargolux/SFO *,General,213282,IAH,Gas Vaporizer,AMM,No,No,No,No,No,Texas,Amman,Jordan,2022-12-19T07:28:50.152Z,Completed
MAT235392,Evelyn Martin,Amelia Robinson,British Airways,British Airways/SFO *,General,40982,LAX,Essential Oils ,DXB,No,No,No,No,No,California,Al Garhoud,United Arab Emirates,2023-08-15T10:04:40.511Z,Completed
MAT230367,Lucas Thompson,Ava Garcia,Mercury World Cargo,Mercury World Cargo,General,33329,LAX,"Flavour,",DXB,No,No,No,No,No,California,Al Garhoud,United Arab Emirates,2023-01-16T17:50:19.921Z,Completed
MAT224707,Ethan Baker,Sophia Thomas,Philippine Airlines Cargo,Philippine Airlines Cargo/MIA *,General,166517,SEA,"Non-hazardous

Lithium Ion Batteries UN3481 in Compliance with Section II of PI 967

",RUH,No,No,No,No,No,Washington,Riyadh,Saudi Arabia,2022-08-18T21:21:24.698Z,Completed
MAT225850,Aurora Patel,Mia Garcia,British Airways,British Airways/SFO *,General,157254,CVG,"NICKEL ALLOY , SS SHEET and Titanium Sheet

",BLR,No,No,No,No,No,Kentucky,Karnataka,India,2022-10-11T17:45:56.256Z,Completed
MAT234046,Alexander Young,Benjamin Lee,UPS Air Cargo *,UPS Air Cargo *,Other,124741,DFW,laptops (Lithium-Ion Batteries in compliance with Section II of PI967),DXB,No,No,No,No,No,Texas,Al Garhoud,United Arab Emirates,2023-06-13T17:40:12.766Z,Completed
MAT235700,Evelyn Walker,Ethan Wright,British Airways,British Airways/SFO *,Other,209436,IAH,Kato AC Revolving Field Generator,DXB,No,No,No,No,No,Texas,Al Garhoud,United Arab Emirates,2023-08-28T23:19:45.152Z,Audited
MAT215375,Aurora Patel,Daniel Young,Saudia Airlines Cargo,Saudia Airlines Cargo / JFK *,Other,272487,PHL,Flavors E-Liquid,RUH,No,No,No,No,No,Pennsylvania,Riyadh,Saudi Arabia,2021-09-14T18:32:38.185Z,Completed
MAT235029,Maya Davis,Amelia Robinson,UPS Air Cargo *,UPS Air Cargo *,General,176475,SLC,Used Server,DXB,No,No,No,No,No,Utah,Al Garhoud,United Arab Emirates,2023-07-28T14:07:09.632Z,Completed
